frame,dir,touch,is_oos,rolling,triggered,delay,rr_trigger,we,R,label,MFE,MAE,p025,p05
4H,LONG,2024-12-02 03:45:00+00:00,False,True,True,3,2.24181666945044,56.81344631974573,-1.0,SL,7.035577628303761,5.563910724772992,0.0,44.0
4H,LONG,2024-12-04 12:00:00+00:00,False,True,True,10,2.579336393092483,52.42844316259248,3.0,TP3,3.3319521231970444,2.3041228580426996,19.0,22.0
4H,LONG,2024-12-05 20:00:00+00:00,False,True,True,2,2.4799301009611665,80.15718281332622,-1.0,SL,0.9143869627069506,2.1209585627632395,2.0,84.0
4H,LONG,2024-12-09 03:45:00+00:00,False,True,True,0,2.7660108849273697,58.53659839200567,0.39618943889403574,OPEN,0.46593901593026593,0.5381255885073951,238.0,
4H,LONG,2024-12-08 08:45:00+00:00,False,True,True,1,2.814201163487244,54.63032506450393,-1.0,SL,1.644606721710405,2.466896611998977,10.0,15.0
4H,LONG,2024-12-09 00:30:00+00:00,False,True,True,1,2.521330364346768,59.57928555456822,-1.0,SL,1.8056548714346286,3.2441490791930554,0.0,56.0
4H,SHORT,2024-12-11 08:30:00+00:00,False,True,True,1,2.7664608077747035,37.19512744279019,-1.0,SL,0.21593235042099043,3.629360730959053,,
4H,LONG,2024-12-13 07:00:00+00:00,False,True,True,0,2.6311158900109946,62.50720558315005,3.0,TP3,4.929003429437789,0.01570320038840632,2.0,15.0
4H,LONG,2024-12-18 20:00:00+00:00,False,True,True,3,2.84542742671771,56.28173857531649,-1.0,SL,1.5530235022023586,6.074446654203272,0.0,0.0
4H,LONG,2024-12-18 20:00:00+00:00,False,True,False,999,,65.92666632348877,-1.0,SL,0.3793866243667808,6.634676881094545,,
4H,LONG,2024-12-18 04:00:00+00:00,False,True,True,27,2.9468821481658494,75.2889975131026,-1.0,SL,0.5233989854116823,7.367613505307545,3.0,6.0
4H,SHORT,2024-12-24 18:00:00+00:00,False,True,True,1,2.0922059264543567,39.09452839066287,2.186281769193948,OPEN,2.363687949087177,0.34356528838329903,0.0,5.0
4H,SHORT,2024-12-24 15:30:00+00:00,False,True,True,17,2.328516684214826,39.069435143885244,1.5965241818274585,OPEN,2.1871625063002464,0.951145926868101,1.0,145.0
4H,SHORT,2024-12-24 14:00:00+00:00,False,True,False,999,,59.11968170614598,-1.0,SL,1.2215769114735646,1.7086079655910063,,
4H,SHORT,2024-12-27 09:00:00+00:00,False,True,True,1,2.380995614133051,30.78894119736017,1.4856820541116575,OPEN,2.1448932113536885,0.08831737029463439,1.0,21.0
4H,SHORT,2024-12-28 22:45:00+00:00,False,True,True,1,2.431793224856104,50.826869489198835,-1.0,SL,2.03315988354202,1.0929745614011475,1.0,61.0
4H,SHORT,2024-12-31 13:15:00+00:00,False,True,True,12,2.0367844009964466,47.70617406894503,-1.0,SL,2.0038772607866018,2.86310896718336,0.0,1.0
4H,SHORT,2024-12-30 20:00:00+00:00,False,True,True,2,2.984052408434792,62.95200667237071,-1.0,SL,1.7974616511092496,3.124929216968712,2.0,4.0
4H,SHORT,2025-01-01 14:00:00+00:00,True,True,True,1,2.714953008741459,63.631585593872614,-1.0,SL,0.1922398086811267,2.570477729018235,,
4H,LONG,2025-01-07 17:30:00+00:00,True,True,True,1,1.7114861558497632,51.37568689573028,-1.0,SL,0.7244702302011714,4.83321056185782,0.0,0.0
4H,LONG,2025-01-05 14:15:00+00:00,True,True,True,1,1.9382721969913392,46.88975938252319,3.0,TP3,5.622724785887444,6.378931288690635,0.0,1.0
4H,LONG,2025-01-07 15:30:00+00:00,True,True,True,3,2.858344544736841,59.64852954476454,-1.0,SL,0.58557534780832,6.789655809282007,1.0,
4H,LONG,2025-01-07 15:00:00+00:00,True,True,False,999,,60.436656754343915,-1.0,SL,0.42161219611936845,7.034076526215741,,
4H,SHORT,2025-01-10 17:45:00+00:00,True,True,True,2,2.8635071358752584,65.85891146597332,3.0,TP3,3.3194783565003556,2.5870749904790196,1.0,36.0
4H,SHORT,2025-01-11 21:15:00+00:00,True,True,True,3,2.950155568936227,50.80529739096578,3.0,TP3,3.812974797820599,3.9456260548269837,11.0,45.0
4H,SHORT,2025-01-12 20:00:00+00:00,True,True,True,4,2.527746962111176,58.192121504971254,-1.0,SL,4.5980671112206295,8.912461609803335,1.0,4.0
4H,SHORT,2025-01-13 21:00:00+00:00,True,True,False,999,,75.1072206415044,-1.0,SL,0.1989221101040274,5.407176987142031,,
4H,LONG,2025-01-16 15:00:00+00:00,True,True,True,0,2.0590230700911167,53.173641498958894,3.0,TP3,7.895522857743757,0.0023042667300467723,0.0,0.0
4H,LONG,2025-01-19 23:15:00+00:00,True,True,True,1,2.4008787662414157,52.60298192095429,3.0,TP3,5.370772609476916,0.8103805351918737,1.0,1.0
4H,LONG,2025-01-19 22:00:00+00:00,True,True,True,0,1.2654310716143211,78.14525791041473,-1.0,SL,4.261324013536418,1.8871554128189423,0.0,0.0
4H,LONG,2025-01-20 16:00:00+00:00,True,True,True,1,1.917788422234323,77.78018642278872,0.2055192379369812,OPEN,0.7246340006757791,0.8411700654016772,0.0,1.0
4H,LONG,2025-01-22 13:45:00+00:00,True,True,True,2,2.382719852355687,58.543601692484025,-1.0,SL,0.8076022214578799,1.5781485540989677,1.0,98.0
4H,LONG,2025-01-22 20:00:00+00:00,True,True,False,999,,64.42167262522192,-1.0,SL,1.0712706641798069,2.6823931128440344,,
4H,LONG,2025-01-26 23:00:00+00:00,True,True,False,999,,51.05891173548939,-1.0,SL,0.8361114289798438,2.169901444687468,,
4H,LONG,2025-01-25 12:00:00+00:00,True,True,True,2,2.8861263254055425,59.68896831222623,-1.0,SL,0.5082409638480427,3.362391866301638,11.0,449.0
4H,LONG,2025-01-26 12:00:00+00:00,True,True,True,1,2.9159713795039095,62.44124832204648,-1.0,SL,1.1036547457852879,4.398615598896867,23.0,354.0
4H,SHORT,2025-01-28 04:30:00+00:00,True,True,True,5,2.8676543605910023,52.264362673154764,-1.0,SL,1.7812799286007985,1.4938016601782105,5.0,33.0
4H,SHORT,2025-01-29 06:30:00+00:00,True,True,True,2,2.7230299293984705,39.74101003076469,-1.0,SL,6.122118348329391,2.0244530226502313,12.0,27.0
4H,LONG,2025-01-31 18:30:00+00:00,True,True,False,999,,64.14448600406902,-1.0,SL,0.09970301363290676,5.168209205481074,,
4H,SHORT,2025-02-03 18:00:00+00:00,True,True,False,999,,66.63247812423296,-1.0,SL,1.5845010941046538,1.3226202134957135,,
4H,SHORT,2025-02-04 16:00:00+00:00,True,True,True,2,2.62043677437345,61.345318142279616,1.023879776680858,OPEN,1.3434908620857495,0.3915311903643619,3.0,15.0
4H,SHORT,2025-02-06 10:15:00+00:00,True,True,True,3,2.683800051058302,51.146148211184865,0.4714923025636589,OPEN,1.948360517760807,0.5582725655040824,6.0,14.0
