frame,group,threshold,retention,n,avg_R,tp3_rate,sl_rate,PF,avg_MFE,avg_MAE,maxDD_R
1H,WE_PASS,55.572366463515536,0.5062240663900415,122,0.33779064746848886,0.319672131147541,0.6557377049180327,1.5151307373894454,5.5231626095202655,3.1796026839113183,-8.0
1H,WE_FAIL,55.572366463515536,0.49377593360995853,119,0.6096028258050832,0.37815126050420167,0.5714285714285714,2.0617663302379916,4.728216316171097,4.15963031432938,-8.0
4H,WE_PASS,52.123264080599405,0.5838509316770186,94,0.32720920980771173,0.26595744680851063,0.5957446808510638,1.54833985120101,2.727339076192627,2.3797465638065436,-8.444353385478898
4H,WE_FAIL,52.123264080599405,0.4161490683229814,67,0.29892843811839864,0.208955223880597,0.5373134328358209,1.5472761836842326,2.7587603288660256,2.1000585049801637,-8.0
1D,WE_PASS,31.951044845578632,0.9666666666666667,29,0.1655484747595643,0.034482758620689655,0.41379310344827586,1.3620257613798685,1.6908100736698812,1.1424992711990838,-7.58985333667767
1D,WE_FAIL,31.951044845578632,0.03333333333333333,1,-1.0,0.0,1.0,0.0,3.0360770716292778,1.1065611002061497,0.0
