rank,ticker,stealth_score,stealth_label,flow_score,non_chase_gate,large_7w,large_4w,retail_4w,price_7d_pct,price_4w_pct,extension_vs_ema20_pct,rs_btc_7d_pp,rs_btc_4w_pp
1,AVAX,99.1,STRONG_STEALTH_CANDIDATE,97.5,True,31.649,53.559,-0.201,3.5738644114036155,17.13977167540881,5.167561453035452,1.526376235512017,-5.749013564098227
2,TAO,98.3,STRONG_STEALTH_CANDIDATE,95.2,True,41.554,47.461,-0.553,0.16963528413909135,15.95483554246442,5.4433401858767105,-1.8778528917525072,-6.9339496970426175
3,XLM,96.9,STRONG_STEALTH_CANDIDATE,97.0,True,32.995,61.547,2.561,2.280311457174644,11.725394896719333,2.6850636476607237,0.23282328128304552,-11.163390342787704
4,HBAR,94.4,STRONG_STEALTH_CANDIDATE,84.0,True,28.731,40.881,-0.063,6.237584425903853,16.277721408899847,6.479149734635414,4.190096250012254,-6.61106383060719
5,SUI,92.2,STRONG_STEALTH_CANDIDATE,94.7,True,14.845,22.552,1.207,6.724832214765097,14.865645767119329,6.132630165195718,4.677344038873499,-8.023139472387708
