symbol,date,bin,buy_usdt,sell_usdt,net_cvd_usdt,ncvd,buy_count,sell_count
AAVEUSDT,2026-03-19,W,250577.011,0.0,250577.011,100.0,1,0
AAVEUSDT,2026-03-20,M,88724.7064,64062.4775,24662.2289,16.141556,8,3
AAVEUSDT,2026-03-20,R1,2124233.1557,1481665.3273,642567.8284,17.819909,22656,21057
AAVEUSDT,2026-03-20,R2,878886.4477,800947.6923,77938.7554,4.63967,480,420
AAVEUSDT,2026-03-21,M,12975.5209,26188.0914,-13212.5705,-33.736853,1,2
AAVEUSDT,2026-03-21,R1,710895.6149,716747.6342,-5852.0193,-0.409908,10744,8567
AAVEUSDT,2026-03-21,R2,278239.1902,315250.9274,-37011.7372,-6.236285,151,174
AAVEUSDT,2026-03-22,M,181754.3645,86327.3631,95427.0014,35.596235,10,4
AAVEUSDT,2026-03-22,R1,1414218.8555,1407739.2104,6479.6451,0.229615,18719,21697
AAVEUSDT,2026-03-22,R2,429508.4848,601724.7968,-172216.312,-16.700034,230,300
AAVEUSDT,2026-03-23,M,774233.8069,284558.2067,489675.6002,46.248517,33,16
AAVEUSDT,2026-03-23,R1,3017393.7916,2722138.0135,295255.7781,5.144248,40179,34713
AAVEUSDT,2026-03-23,R2,2015984.3391,2087298.9342,-71314.5951,-1.737989,1140,1120
AAVEUSDT,2026-03-23,W,0.0,157747.072,-157747.072,-100.0,0,1
AAVEUSDT,2026-03-24,M,626293.9538,274225.9477,352068.0061,39.096083,18,7
AAVEUSDT,2026-03-24,R1,2530267.7396,1864648.0567,665619.6829,15.14522,33457,21355
AAVEUSDT,2026-03-24,R2,949034.0859,935274.1034,13759.9825,0.730241,445,471
AAVEUSDT,2026-03-24,W,140602.3083,0.0,140602.3083,100.0,1,0
AAVEUSDT,2026-03-25,M,443050.5309,304766.4212,138284.1097,18.491706,18,12
AAVEUSDT,2026-03-25,R1,3277077.2892,2585679.2095,691398.0797,11.793055,31409,25702
AAVEUSDT,2026-03-25,R2,2029235.2627,1884602.0297,144633.233,3.695433,1121,943
AAVEUSDT,2026-03-25,W,159510.009,0.0,159510.009,100.0,1,0
AAVEUSDT,2026-03-26,M,351134.5807,346114.4657,5020.115,0.719989,24,18
AAVEUSDT,2026-03-26,R1,3016344.9705,2752351.3367,263993.6338,4.576314,22846,30020
AAVEUSDT,2026-03-26,R2,2017553.7032,1676407.0204,341146.6828,9.235255,1042,889
AAVEUSDT,2026-03-27,M,260831.4635,142422.3581,118409.1054,29.363418,13,8
AAVEUSDT,2026-03-27,R1,2453364.2723,2332619.3938,120744.8785,2.522885,23021,26007
AAVEUSDT,2026-03-27,R2,1430035.2333,1605676.3664,-175641.1331,-5.785831,776,894
AAVEUSDT,2026-03-28,M,73390.9747,207671.2161,-134280.2414,-47.775989,4,10
AAVEUSDT,2026-03-28,R1,1979329.7589,2151382.5776,-172052.8187,-4.165209,15550,24134
AAVEUSDT,2026-03-28,R2,1231591.5202,1152543.1505,79048.3697,3.3156,590,587
AAVEUSDT,2026-03-28,W,0.0,155130.5556,-155130.5556,-100.0,0,1
AAVEUSDT,2026-03-29,M,29471.4339,156079.7217,-126608.2878,-68.233629,2,11
AAVEUSDT,2026-03-29,R1,1442040.5593,1655190.674,-213150.1147,-6.881957,16202,22946
AAVEUSDT,2026-03-29,R2,688879.9563,680421.1566,8458.7997,0.617746,342,354
AAVEUSDT,2026-03-30,M,199311.4789,188692.9282,10618.5507,2.736709,7,8
AAVEUSDT,2026-03-30,R1,2418825.1069,2178047.4862,240777.6207,5.237857,28310,23433
