plan,zone,touch,zq,sl,target,A_strict_pre_time,A_strict_pre_price,B_balanced_pre_time,B_balanced_pre_price,C_deep_pre_time,C_deep_pre_price,fast_time,fast_price,A_strict_pre_pre_score,A_strict_pre_ex,B_balanced_pre_pre_score,B_balanced_pre_ex,A_strict_pre_ret4h,A_strict_pre_ret24h,A_strict_pre_ret72h,A_strict_pre_mfe,A_strict_pre_mae,A_strict_pre_first_hit,A_strict_pre_lead_h,B_balanced_pre_ret4h,B_balanced_pre_ret24h,B_balanced_pre_ret72h,B_balanced_pre_mfe,B_balanced_pre_mae,B_balanced_pre_first_hit,B_balanced_pre_lead_h,fast_ret4h,fast_ret24h,fast_ret72h,fast_mfe,fast_mae,fast_first_hit,C_deep_pre_pre_score,C_deep_pre_ex,C_deep_pre_ret4h,C_deep_pre_ret24h,C_deep_pre_ret72h,C_deep_pre_mfe,C_deep_pre_mae,C_deep_pre_first_hit,C_deep_pre_lead_h
P012,1,2025-05-29 23:00:00+00:00,72,90275.20009450532,107292.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P012,2,2025-06-05 19:00:00+00:00,71,90275.20009450532,107292.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P013,1,2025-07-04 14:00:00+00:00,77,91230.50245943257,109690.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P014,1,2025-08-14 12:00:00+00:00,85,109678.78297373795,124545.6,,,2025-08-16 22:00:00+00:00,117413.5,,,,,,,55.0,76.0,,,,,,,,0.0012400618327534918,0.004130700473114146,-0.03657415884885473,0.009747601425730501,-0.086889497374663,SL,,,,,,,,,,,,,,,,
P014,2,2025-08-18 02:00:00+00:00,75,109678.78297373795,124545.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P014,3,2025-08-20 01:00:00+00:00,71,109678.78297373795,124545.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P015,1,2025-09-17 18:00:00+00:00,71,100845.4982517141,116910.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P015,2,2025-10-10 21:00:00+00:00,81,100845.4982517141,116910.8,,,2025-10-10 21:00:00+00:00,113253.6,2025-10-10 21:00:00+00:00,113253.6,2025-10-10 21:00:00+00:00,113253.6,,,65.0,82.0,,,,,,,,-0.019368920723049965,-0.02137592094202756,0.02116842201925584,0.023472984523229323,-0.10363555772178545,none,0.0,-0.019368920723049965,-0.02137592094202756,0.02116842201925584,0.023472984523229323,-0.10363555772178545,none,65.0,82.0,-0.019368920723049965,-0.02137592094202756,0.02116842201925584,0.023472984523229323,-0.10363555772178545,none,0.0
P015,3,2025-10-10 21:00:00+00:00,71,100845.4982517141,116910.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P016,1,2025-10-10 20:00:00+00:00,85,102880.26974288732,119457.0,2025-10-10 21:00:00+00:00,113253.6,2025-10-10 21:00:00+00:00,113253.6,,,2025-10-12 19:00:00+00:00,114288.7,65.0,66.0,65.0,66.0,-0.019368920723049965,-0.02137592094202756,0.02116842201925584,0.027607069444150145,-0.10363555772178545,SL,46.0,-0.019368920723049965,-0.02137592094202756,0.02116842201925584,0.027607069444150145,-0.10363555772178545,SL,46.0,0.00529973654438276,0.012581296313633805,-0.02700179457811669,0.018300146908662107,-0.09466115197740455,none,,,,,,,,,
P016,2,2025-10-10 21:00:00+00:00,91,102880.26974288732,119457.0,2025-10-10 21:00:00+00:00,113253.6,2025-10-10 21:00:00+00:00,113253.6,2025-10-10 21:00:00+00:00,113253.6,2025-10-10 21:00:00+00:00,113253.6,65.0,82.0,65.0,82.0,-0.019368920723049965,-0.02137592094202756,0.02116842201925584,0.027607069444150145,-0.10363555772178545,SL,0.0,-0.019368920723049965,-0.02137592094202756,0.02116842201925584,0.027607069444150145,-0.10363555772178545,SL,0.0,-0.019368920723049965,-0.02137592094202756,0.02116842201925584,0.027607069444150145,-0.10363555772178545,SL,65.0,82.0,-0.019368920723049965,-0.02137592094202756,0.02116842201925584,0.027607069444150145,-0.10363555772178545,SL,0.0
P016,3,2025-10-10 21:00:00+00:00,77,102880.26974288732,119457.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P017,1,2026-01-08 07:00:00+00:00,74,78611.7119870557,91597.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P017,2,2026-01-29 15:00:00+00:00,61,78611.7119870557,91597.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P017,3,2026-01-30 01:00:00+00:00,61,78611.7119870557,91597.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P018,1,2026-03-06 12:00:00+00:00,66,59672.43957766028,74046.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P018,2,2026-03-06 14:00:00+00:00,61,59672.43957766028,74046.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P019,1,2026-04-12 01:00:00+00:00,63,62975.52619124398,73450.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P020,1,2026-04-27 05:00:00+00:00,81,69877.00603555865,79444.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P020,2,2026-04-28 14:00:00+00:00,71,69877.00603555865,79444.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P021,1,2026-07-23 12:00:00+00:00,73,58336.209781509424,66924.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P021,2,2026-07-28 00:00:00+00:00,63,58336.209781509424,66924.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P022,1,2026-08-20 03:00:00+00:00,67,61021.4117371881,70450.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
