plan,zone,touch,zone_quality,common_sl,target,strict_tactical_rr0_time,strict_tactical_rr0_price,strict_tactical_rr0_sl,strict_tactical_rr0_rr,strict_tactical_rr2_time,strict_tactical_rr2_price,strict_tactical_rr2_sl,strict_tactical_rr2_rr,strict_tactical_rr2p5_time,strict_tactical_rr2p5_price,strict_tactical_rr2p5_sl,strict_tactical_rr2p5_rr,strict_tactical_rr3_time,strict_tactical_rr3_price,strict_tactical_rr3_sl,strict_tactical_rr3_rr,strict_tactical_rr4_time,strict_tactical_rr4_price,strict_tactical_rr4_sl,strict_tactical_rr4_rr,moderate_tactical_rr0_time,moderate_tactical_rr0_price,moderate_tactical_rr0_sl,moderate_tactical_rr0_rr,moderate_tactical_rr2_time,moderate_tactical_rr2_price,moderate_tactical_rr2_sl,moderate_tactical_rr2_rr,moderate_tactical_rr2p5_time,moderate_tactical_rr2p5_price,moderate_tactical_rr2p5_sl,moderate_tactical_rr2p5_rr,moderate_tactical_rr3_time,moderate_tactical_rr3_price,moderate_tactical_rr3_sl,moderate_tactical_rr3_rr,moderate_tactical_rr4_time,moderate_tactical_rr4_price,moderate_tactical_rr4_sl,moderate_tactical_rr4_rr,loose_tactical_rr0_time,loose_tactical_rr0_price,loose_tactical_rr0_sl,loose_tactical_rr0_rr,loose_tactical_rr2_time,loose_tactical_rr2_price,loose_tactical_rr2_sl,loose_tactical_rr2_rr,loose_tactical_rr2p5_time,loose_tactical_rr2p5_price,loose_tactical_rr2p5_sl,loose_tactical_rr2p5_rr,loose_tactical_rr3_time,loose_tactical_rr3_price,loose_tactical_rr3_sl,loose_tactical_rr3_rr,loose_tactical_rr4_time,loose_tactical_rr4_price,loose_tactical_rr4_sl,loose_tactical_rr4_rr,strict_tactical_rr0_ret4h,strict_tactical_rr0_ret24h,strict_tactical_rr0_ret72h,strict_tactical_rr0_mfe,strict_tactical_rr0_mae,strict_tactical_rr0_first_hit,moderate_tactical_rr0_ret4h,moderate_tactical_rr0_ret24h,moderate_tactical_rr0_ret72h,moderate_tactical_rr0_mfe,moderate_tactical_rr0_mae,moderate_tactical_rr0_first_hit,loose_tactical_rr0_ret4h,loose_tactical_rr0_ret24h,loose_tactical_rr0_ret72h,loose_tactical_rr0_mfe,loose_tactical_rr0_mae,loose_tactical_rr0_first_hit,loose_tactical_rr2_ret4h,loose_tactical_rr2_ret24h,loose_tactical_rr2_ret72h,loose_tactical_rr2_mfe,loose_tactical_rr2_mae,loose_tactical_rr2_first_hit,loose_tactical_rr2p5_ret4h,loose_tactical_rr2p5_ret24h,loose_tactical_rr2p5_ret72h,loose_tactical_rr2p5_mfe,loose_tactical_rr2p5_mae,loose_tactical_rr2p5_first_hit,loose_tactical_rr3_ret4h,loose_tactical_rr3_ret24h,loose_tactical_rr3_ret72h,loose_tactical_rr3_mfe,loose_tactical_rr3_mae,loose_tactical_rr3_first_hit,strict_tactical_rr2_ret4h,strict_tactical_rr2_ret24h,strict_tactical_rr2_ret72h,strict_tactical_rr2_mfe,strict_tactical_rr2_mae,strict_tactical_rr2_first_hit,strict_tactical_rr2p5_ret4h,strict_tactical_rr2p5_ret24h,strict_tactical_rr2p5_ret72h,strict_tactical_rr2p5_mfe,strict_tactical_rr2p5_mae,strict_tactical_rr2p5_first_hit,strict_tactical_rr3_ret4h,strict_tactical_rr3_ret24h,strict_tactical_rr3_ret72h,strict_tactical_rr3_mfe,strict_tactical_rr3_mae,strict_tactical_rr3_first_hit,moderate_tactical_rr2_ret4h,moderate_tactical_rr2_ret24h,moderate_tactical_rr2_ret72h,moderate_tactical_rr2_mfe,moderate_tactical_rr2_mae,moderate_tactical_rr2_first_hit,moderate_tactical_rr2p5_ret4h,moderate_tactical_rr2p5_ret24h,moderate_tactical_rr2p5_ret72h,moderate_tactical_rr2p5_mfe,moderate_tactical_rr2p5_mae,moderate_tactical_rr2p5_first_hit,moderate_tactical_rr3_ret4h,moderate_tactical_rr3_ret24h,moderate_tactical_rr3_ret72h,moderate_tactical_rr3_mfe,moderate_tactical_rr3_mae,moderate_tactical_rr3_first_hit,moderate_tactical_rr4_ret4h,moderate_tactical_rr4_ret24h,moderate_tactical_rr4_ret72h,moderate_tactical_rr4_mfe,moderate_tactical_rr4_mae,moderate_tactical_rr4_first_hit,loose_tactical_rr4_ret4h,loose_tactical_rr4_ret24h,loose_tactical_rr4_ret72h,loose_tactical_rr4_mfe,loose_tactical_rr4_mae,loose_tactical_rr4_first_hit,strict_tactical_rr4_ret4h,strict_tactical_rr4_ret24h,strict_tactical_rr4_ret72h,strict_tactical_rr4_mfe,strict_tactical_rr4_mae,strict_tactical_rr4_first_hit
P008,1,2024-12-18 20:00:00+00:00,80,86485.07914420801,106665.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-12-19 18:00:00+00:00,98883.6,96546.67513083671,3.3301027785229165,2024-12-19 18:00:00+00:00,98883.6,96546.67513083671,3.3301027785229165,2024-12-19 18:00:00+00:00,98883.6,96546.67513083671,3.3301027785229165,2024-12-19 18:00:00+00:00,98883.6,96546.67513083671,3.3301027785229165,,,,,,,,,,,,,,,,,-0.005579287161875279,-0.019496660720281334,-0.030037336828351857,0.03922288428010301,-0.10087213653224603,SL,-0.005579287161875279,-0.019496660720281334,-0.030037336828351857,0.03922288428010301,-0.10087213653224603,SL,-0.005579287161875279,-0.019496660720281334,-0.030037336828351857,0.03922288428010301,-0.10087213653224603,SL,-0.005579287161875279,-0.019496660720281334,-0.030037336828351857,0.03922288428010301,-0.10087213653224603,SL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P008,2,2024-12-19 02:00:00+00:00,82,86485.07914420801,106665.8,2024-12-19 18:00:00+00:00,98883.6,96546.67513083671,3.3301027785229165,2024-12-19 18:00:00+00:00,98883.6,96546.67513083671,3.3301027785229165,2024-12-19 18:00:00+00:00,98883.6,96546.67513083671,3.3301027785229165,2024-12-19 18:00:00+00:00,98883.6,96546.67513083671,3.3301027785229165,,,,,2024-12-19 18:00:00+00:00,98883.6,96546.67513083671,3.3301027785229165,2024-12-19 18:00:00+00:00,98883.6,96546.67513083671,3.3301027785229165,2024-12-19 18:00:00+00:00,98883.6,96546.67513083671,3.3301027785229165,2024-12-19 18:00:00+00:00,98883.6,96546.67513083671,3.3301027785229165,,,,,2024-12-19 18:00:00+00:00,98883.6,96546.67513083671,3.3301027785229165,2024-12-19 18:00:00+00:00,98883.6,96546.67513083671,3.3301027785229165,2024-12-19 18:00:00+00:00,98883.6,96546.67513083671,3.3301027785229165,2024-12-19 18:00:00+00:00,98883.6,96546.67513083671,3.3301027785229165,,,,,-0.005579287161875279,-0.019496660720281334,-0.030037336828351857,0.03922288428010301,-0.10087213653224603,SL,-0.005579287161875279,-0.019496660720281334,-0.030037336828351857,0.03922288428010301,-0.10087213653224603,SL,-0.005579287161875279,-0.019496660720281334,-0.030037336828351857,0.03922288428010301,-0.10087213653224603,SL,-0.005579287161875279,-0.019496660720281334,-0.030037336828351857,0.03922288428010301,-0.10087213653224603,SL,-0.005579287161875279,-0.019496660720281334,-0.030037336828351857,0.03922288428010301,-0.10087213653224603,SL,-0.005579287161875279,-0.019496660720281334,-0.030037336828351857,0.03922288428010301,-0.10087213653224603,SL,-0.005579287161875279,-0.019496660720281334,-0.030037336828351857,0.03922288428010301,-0.10087213653224603,SL,-0.005579287161875279,-0.019496660720281334,-0.030037336828351857,0.03922288428010301,-0.10087213653224603,SL,-0.005579287161875279,-0.019496660720281334,-0.030037336828351857,0.03922288428010301,-0.10087213653224603,SL,-0.005579287161875279,-0.019496660720281334,-0.030037336828351857,0.03922288428010301,-0.10087213653224603,SL,-0.005579287161875279,-0.019496660720281334,-0.030037336828351857,0.03922288428010301,-0.10087213653224603,SL,-0.005579287161875279,-0.019496660720281334,-0.030037336828351857,0.03922288428010301,-0.10087213653224603,SL,,,,,,,,,,,,,,,,,,
P008,3,2025-01-13 12:00:00+00:00,80,86485.07914420801,106665.8,,,,,,,,,,,,,,,,,,,,,2025-01-13 14:00:00+00:00,91800.0,88675.34280540235,4.757577895489502,2025-01-13 14:00:00+00:00,91800.0,88675.34280540235,4.757577895489502,2025-01-13 14:00:00+00:00,91800.0,88675.34280540235,4.757577895489502,2025-01-13 14:00:00+00:00,91800.0,88675.34280540235,4.757577895489502,2025-01-13 14:00:00+00:00,91800.0,88675.34280540235,4.757577895489502,2025-01-13 14:00:00+00:00,91800.0,88675.34280540235,4.757577895489502,2025-01-13 14:00:00+00:00,91800.0,88675.34280540235,4.757577895489502,2025-01-13 14:00:00+00:00,91800.0,88675.34280540235,4.757577895489502,2025-01-13 14:00:00+00:00,91800.0,88675.34280540235,4.757577895489502,2025-01-13 14:00:00+00:00,91800.0,88675.34280540235,4.757577895489502,,,,,,,0.0026067538126361978,0.04846405228758166,0.055032679738562074,0.0605,-0.03149237472766886,none,0.0026067538126361978,0.04846405228758166,0.055032679738562074,0.0605,-0.03149237472766886,none,0.0026067538126361978,0.04846405228758166,0.055032679738562074,0.0605,-0.03149237472766886,none,0.0026067538126361978,0.04846405228758166,0.055032679738562074,0.0605,-0.03149237472766886,none,0.0026067538126361978,0.04846405228758166,0.055032679738562074,0.0605,-0.03149237472766886,none,,,,,,,,,,,,,,,,,,,0.0026067538126361978,0.04846405228758166,0.055032679738562074,0.0605,-0.03149237472766886,none,0.0026067538126361978,0.04846405228758166,0.055032679738562074,0.0605,-0.03149237472766886,none,0.0026067538126361978,0.04846405228758166,0.055032679738562074,0.0605,-0.03149237472766886,none,0.0026067538126361978,0.04846405228758166,0.055032679738562074,0.0605,-0.03149237472766886,none,0.0026067538126361978,0.04846405228758166,0.055032679738562074,0.0605,-0.03149237472766886,none,,,,,,
P009,1,2025-01-19 22:00:00+00:00,75,86031.91548241641,105784.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P009,2,2025-01-27 07:00:00+00:00,94,86031.91548241641,105784.0,2025-01-27 07:00:00+00:00,98996.3,97472.57804021079,4.454684108470154,2025-01-27 07:00:00+00:00,98996.3,97472.57804021079,4.454684108470154,2025-01-27 07:00:00+00:00,98996.3,97472.57804021079,4.454684108470154,2025-01-27 07:00:00+00:00,98996.3,97472.57804021079,4.454684108470154,2025-01-27 07:00:00+00:00,98996.3,97472.57804021079,4.454684108470154,2025-01-27 07:00:00+00:00,98996.3,97472.57804021079,4.454684108470154,2025-01-27 07:00:00+00:00,98996.3,97472.57804021079,4.454684108470154,2025-01-27 07:00:00+00:00,98996.3,97472.57804021079,4.454684108470154,2025-01-27 07:00:00+00:00,98996.3,97472.57804021079,4.454684108470154,2025-01-27 07:00:00+00:00,98996.3,97472.57804021079,4.454684108470154,2025-01-27 07:00:00+00:00,98996.3,97472.57804021079,4.454684108470154,2025-01-27 07:00:00+00:00,98996.3,97472.57804021079,4.454684108470154,2025-01-27 07:00:00+00:00,98996.3,97472.57804021079,4.454684108470154,2025-01-27 07:00:00+00:00,98996.3,97472.57804021079,4.454684108470154,2025-01-27 07:00:00+00:00,98996.3,97472.57804021079,4.454684108470154,-0.0029930411540634028,0.037955964010776055,0.061505328987043084,0.07529271295997919,-0.07945751507884635,TP1,-0.0029930411540634028,0.037955964010776055,0.061505328987043084,0.07529271295997919,-0.07945751507884635,TP1,-0.0029930411540634028,0.037955964010776055,0.061505328987043084,0.07529271295997919,-0.07945751507884635,TP1,-0.0029930411540634028,0.037955964010776055,0.061505328987043084,0.07529271295997919,-0.07945751507884635,TP1,-0.0029930411540634028,0.037955964010776055,0.061505328987043084,0.07529271295997919,-0.07945751507884635,TP1,-0.0029930411540634028,0.037955964010776055,0.061505328987043084,0.07529271295997919,-0.07945751507884635,TP1,-0.0029930411540634028,0.037955964010776055,0.061505328987043084,0.07529271295997919,-0.07945751507884635,TP1,-0.0029930411540634028,0.037955964010776055,0.061505328987043084,0.07529271295997919,-0.07945751507884635,TP1,-0.0029930411540634028,0.037955964010776055,0.061505328987043084,0.07529271295997919,-0.07945751507884635,TP1,-0.0029930411540634028,0.037955964010776055,0.061505328987043084,0.07529271295997919,-0.07945751507884635,TP1,-0.0029930411540634028,0.037955964010776055,0.061505328987043084,0.07529271295997919,-0.07945751507884635,TP1,-0.0029930411540634028,0.037955964010776055,0.061505328987043084,0.07529271295997919,-0.07945751507884635,TP1,-0.0029930411540634028,0.037955964010776055,0.061505328987043084,0.07529271295997919,-0.07945751507884635,TP1,-0.0029930411540634028,0.037955964010776055,0.061505328987043084,0.07529271295997919,-0.07945751507884635,TP1,-0.0029930411540634028,0.037955964010776055,0.061505328987043084,0.07529271295997919,-0.07945751507884635,TP1
P011,1,2025-05-07 18:00:00+00:00,82,88474.73026477243,97865.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P012,1,2025-05-29 23:00:00+00:00,72,90275.20009450532,107292.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P012,2,2025-06-05 19:00:00+00:00,71,90275.20009450532,107292.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P013,1,2025-07-04 14:00:00+00:00,77,91230.50245943257,109690.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P014,1,2025-08-14 12:00:00+00:00,85,109678.78297373795,124545.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
