hour_utc,symbol,bin,buy_usdt,sell_usdt,buy_count,sell_count
2026-09-03T01:00:00Z,TAOUSDT,M,26534.416829999995,40732.56166,2,2
2026-09-03T01:00:00Z,TAOUSDT,MW,0.0,0.0,0,0
2026-09-03T01:00:00Z,TAOUSDT,R1,108302.23156,61600.44185,536,285
2026-09-03T01:00:00Z,TAOUSDT,R2,151393.68703000006,96388.99245000002,74,57
2026-09-03T01:00:00Z,TAOUSDT,W,0.0,0.0,0,0
2026-09-03T01:00:00Z,UNIUSDT,M,197466.18386000002,317640.22073,7,19
2026-09-03T01:00:00Z,UNIUSDT,MW,0.0,0.0,0,0
2026-09-03T01:00:00Z,UNIUSDT,R1,531665.810300002,518118.1209899999,2997,2207
2026-09-03T01:00:00Z,UNIUSDT,R2,862535.204059999,1282047.5151499999,358,592
2026-09-03T01:00:00Z,UNIUSDT,W,104513.2941,0.0,1,0
2026-09-03T01:00:00Z,XLMUSDT,M,70294.9448,13386.2664,5,1
2026-09-03T01:00:00Z,XLMUSDT,MW,0.0,0.0,0,0
2026-09-03T01:00:00Z,XLMUSDT,R1,107543.58430000015,86056.77569999988,555,409
2026-09-03T01:00:00Z,XLMUSDT,R2,268997.2138999999,233600.03470000002,91,82
2026-09-03T01:00:00Z,XLMUSDT,W,0.0,0.0,0,0
2026-09-03T01:00:00Z,XRPUSDT,M,1463687.9062999997,1172229.2339999995,95,75
2026-09-03T01:00:00Z,XRPUSDT,MW,0.0,0.0,0,0
2026-09-03T01:00:00Z,XRPUSDT,R1,1079700.2151400037,576640.0755500004,7720,3502
2026-09-03T01:00:00Z,XRPUSDT,R2,3724346.7369900015,3007719.533349998,1183,967
2026-09-03T01:00:00Z,XRPUSDT,W,252680.32194,0.0,2,0
2026-09-03T01:00:00Z,ZECUSDT,M,293896.95843,197863.93986,10,12
2026-09-03T01:00:00Z,ZECUSDT,MW,0.0,0.0,0,0
2026-09-03T01:00:00Z,ZECUSDT,R1,1190330.0497299933,894670.0525999999,7788,4904
2026-09-03T01:00:00Z,ZECUSDT,R2,769130.2959500004,681663.9602000001,311,254
2026-09-03T01:00:00Z,ZECUSDT,W,115009.90699999999,0.0,1,0
2026-09-03T04:00:00Z,AAVEUSDT,M,0.0,13748.43078,0,1
2026-09-03T04:00:00Z,AAVEUSDT,MW,0.0,0.0,0,0
2026-09-03T04:00:00Z,AAVEUSDT,R1,114152.49688,118960.66600000008,827,814
2026-09-03T04:00:00Z,AAVEUSDT,R2,42219.500479999995,66818.61631,18,30
2026-09-03T04:00:00Z,AAVEUSDT,W,0.0,0.0,0,0
2026-09-03T04:00:00Z,AVAXUSDT,M,0.0,12454.62048,0,1
2026-09-03T04:00:00Z,AVAXUSDT,MW,0.0,0.0,0,0
2026-09-03T04:00:00Z,AVAXUSDT,R1,154705.0067599997,78671.41450999992,728,540
2026-09-03T04:00:00Z,AVAXUSDT,R2,336252.2995200004,106156.03120000001,156,52
2026-09-03T04:00:00Z,AVAXUSDT,W,0.0,0.0,0,0
2026-09-03T04:00:00Z,CAKEUSDT,M,0.0,0.0,0,0
2026-09-03T04:00:00Z,CAKEUSDT,MW,0.0,0.0,0,0
2026-09-03T04:00:00Z,CAKEUSDT,R1,14204.283400000002,29390.82125999999,67,151
2026-09-03T04:00:00Z,CAKEUSDT,R2,15274.61921,19724.585300000002,9,10
2026-09-03T04:00:00Z,CAKEUSDT,W,0.0,0.0,0,0
2026-09-03T04:00:00Z,ENAUSDT,M,41673.444543000005,104882.545614,2,6
2026-09-03T04:00:00Z,ENAUSDT,MW,0.0,0.0,0,0
2026-09-03T04:00:00Z,ENAUSDT,R1,73695.21871000006,54761.848925999984,376,289
2026-09-03T04:00:00Z,ENAUSDT,R2,206467.85648999998,115752.96215400001,88,42
2026-09-03T04:00:00Z,ENAUSDT,W,0.0,0.0,0,0
2026-09-03T04:00:00Z,ETHUSDT,M,3024269.9302819995,3918349.8265559995,146,155
2026-09-03T04:00:00Z,ETHUSDT,MW,0.0,0.0,0,0
2026-09-03T04:00:00Z,ETHUSDT,R1,908452.6442250018,565342.0468010007,6427,4784
2026-09-03T04:00:00Z,ETHUSDT,R2,3404952.2549560075,2531478.5845430014,1543,835
2026-09-03T04:00:00Z,ETHUSDT,W,116658.00026999999,531652.0581680001,1,4
2026-09-03T04:00:00Z,HBARUSDT,M,0.0,0.0,0,0
2026-09-03T04:00:00Z,HBARUSDT,MW,0.0,0.0,0,0
2026-09-03T04:00:00Z,HBARUSDT,R1,65562.60486000002,46077.31870999995,528,552
2026-09-03T04:00:00Z,HBARUSDT,R2,2351.34713,11203.47015,2,9
2026-09-03T04:00:00Z,HBARUSDT,W,0.0,0.0,0,0
2026-09-03T04:00:00Z,LINKUSDT,M,0.0,173073.82078999997,0,3
2026-09-03T04:00:00Z,LINKUSDT,MW,0.0,0.0,0,0
2026-09-03T04:00:00Z,LINKUSDT,R1,167607.76169999974,381709.23668000137,974,2211
2026-09-03T04:00:00Z,LINKUSDT,R2,192187.72587,159410.88869999995,114,68
2026-09-03T04:00:00Z,LINKUSDT,W,0.0,137830.448,0,1
2026-09-03T04:00:00Z,MORPHOUSDT,M,0.0,0.0,0,0
2026-09-03T04:00:00Z,MORPHOUSDT,MW,0.0,0.0,0,0
2026-09-03T04:00:00Z,MORPHOUSDT,R1,19566.450509999995,24638.105950000005,116,234
2026-09-03T04:00:00Z,MORPHOUSDT,R2,5817.8142,5856.296,3,3
2026-09-03T04:00:00Z,MORPHOUSDT,W,0.0,0.0,0,0
2026-09-03T04:00:00Z,NEARUSDT,M,14456.4623,319220.82879999996,1,16
2026-09-03T04:00:00Z,NEARUSDT,MW,0.0,0.0,0,0
2026-09-03T04:00:00Z,NEARUSDT,R1,127311.11209999985,111086.18449999987,520,496
2026-09-03T04:00:00Z,NEARUSDT,R2,208152.86059999993,281526.0142,93,111
2026-09-03T04:00:00Z,NEARUSDT,W,0.0,0.0,0,0
2026-09-03T04:00:00Z,ONDOUSDT,M,0.0,0.0,0,0
2026-09-03T04:00:00Z,ONDOUSDT,MW,0.0,0.0,0,0
2026-09-03T04:00:00Z,ONDOUSDT,R1,67101.87591999995,43127.38053,348,214
2026-09-03T04:00:00Z,ONDOUSDT,R2,40508.16791,27772.291189999996,19,13
2026-09-03T04:00:00Z,ONDOUSDT,W,0.0,0.0,0,0
2026-09-03T04:00:00Z,SEIUSDT,M,0.0,14382.591278,0,1
2026-09-03T04:00:00Z,SEIUSDT,MW,0.0,0.0,0,0
2026-09-03T04:00:00Z,SEIUSDT,R1,52365.381391999945,121380.98755700001,578,755
2026-09-03T04:00:00Z,SEIUSDT,R2,18739.865502999997,72904.69159100001,8,33
2026-09-03T04:00:00Z,SEIUSDT,W,0.0,0.0,0,0
2026-09-03T04:00:00Z,SOLUSDT,M,1943507.9777500008,1928190.2108799994,90,98
2026-09-03T04:00:00Z,SOLUSDT,MW,0.0,0.0,0,0
2026-09-03T04:00:00Z,SOLUSDT,R1,319651.2056900005,277304.73074,1530,1411
2026-09-03T04:00:00Z,SOLUSDT,R2,1596576.8477400006,1305224.4746900005,435,389
