coin,address,display_name,side,position_size,position_value_usd,entry_px,leverage_value,liquidation_px,mark_price,liquidation_distance_pct,unrealized_pnl,account_value
ETH,0x0c5d0549a1f7ad185286a08bfc10f8e9a1c936b3,,LONG,11000.0,27292100.0,2482.2,20.0,1617.3829842931,2480.35,34.792146902933055,-12153.23532,2773526.240051
ETH,0xa2ce501d9c0c5e23d34272f84402cfb7835b3126,,LONG,10016.8752,24844855.55856,2162.83,10.0,1402.7077682343,2480.35,43.447184137952306,3180053.5094,6760385.263489
ETH,0xea0027b6ea9b6d7d401b5266979cc3b3ca87a918,,LONG,10003.8263,24812490.37189,2003.01,5.0,1102.571192466,2480.35,55.54775767669885,4774698.757824,6466628.946944
ETH,0x66466428990e0f42a4c54f64bee0db6bf2336de5,,LONG,10000.0,24811000.0,1765.8,25.0,1579.1901884933,2480.35,36.33196167906546,7152942.545719,3122306.594918
ETH,0x15a4f009bb324a3fb9e36137136b201e3fe0dfdb,,LONG,10000.0,24803000.0,1761.94,20.0,154.1678826134,2480.35,93.78443031776162,7183518.96602,8524087.379757
ETH,0x469e9a7f624b04c24f0e64edf8d8a277e6bf58a5,,LONG,10000.0,24803000.0,2507.44,25.0,1224.6801007046,2480.35,50.6247061622513,-271400.2475,8883726.855063
BTC,0xa2ce501d9c0c5e23d34272f84402cfb7835b3126,,LONG,300.49417,23155179.25769,70766.9,20.0,41408.6333666754,77071.5,46.272443942734476,1890134.347666,6760385.263489
ETH,0xb695651daa495f59dd2725c6fe98322d8b51a92d,,SHORT,-9328.4443,23137340.39729,2504.66,20.0,4765.0480502474,2480.35,92.11192171457256,227273.69645,23098717.108488
BTC,0x0c4a3a7ac74d43732f9b5ea507f01ab72a381b19,,LONG,294.21287,22684989.12848,77771.0,40.0,73691.4741783209,77071.5,4.385571607765643,-196251.58255,1525712.403238
BTC,0x7fdafde5cfb5465924316eced2d3715494c517d1,BobbyBigSize,SHORT,-272.01773,20964950.48656,77554.0,30.0,197542.2124192629,77071.5,156.31032537223606,131114.828968,38086235.696235
ETH,0x9eec98d048d06d9cd75318fffa3f3960e081daab,,LONG,8092.4521,20078182.90531,1658.44,15.0,1649.9570950495,2480.35,33.47886003791803,6657318.376927,2303455.875979
