time_utc,address,display_name,coin,side,position_value_usd,signed_position_value_usd,entry_px,leverage_type,leverage_value,liquidation_px,mark_price,liquidation_distance_pct,unrealized_pnl,account_value,status
2026-09-02T08:00:00Z,0xb83de012dba672c76a7dbbbf3e459cb59d7d6e36,,ETH,SHORT,107108214.066724,-107108214.066724,2138.37,cross,5.0,3786.420196595,2416.65,56.680536966254934,-12330123.876634,64799593.806901,ACTIVE
2026-09-02T08:00:00Z,0xc179e03922afe8fa9533d3f896338b9fb87ce0c8,,ETH,LONG,7155674.97296,7155674.97296,1899.3,cross,4.0,,2416.65,,1529885.262459,18613191.774179,ACTIVE
2026-09-02T08:00:00Z,0xccf3fff396a14d55d93366f870c007425e9f2a75,,ETH,LONG,11373766.12947,11373766.12947,2398.97,cross,20.0,2053.4666771879,2416.65,15.028379070701176,77569.72028,1587755.158429,ACTIVE
2026-09-02T08:00:00Z,0xd4c1f7e8d876c4749228d515473d36f919583d1d,,BTC,SHORT,15846979.80896,-15846979.80896,76502.4,cross,12.0,94311.4938294598,77366.5,21.90223653578719,-172010.324594,4262492.958387,ACTIVE
2026-09-02T08:00:00Z,0xd4c1f7e8d876c4749228d515473d36f919583d1d,,ETH,SHORT,20864139.56194,-20864139.56194,2492.52,cross,12.0,2815.427487363,2416.65,16.501251209856623,662629.473076,4262492.958387,ACTIVE
2026-09-02T08:00:00Z,0xdd53c5297309130ab5fe5623dc905752e3342b13,,BTC,SHORT,14677400.7232,-14677400.7232,77270.8,cross,3.0,254312.5534124999,77366.5,228.71146221232692,-13874.000127,39313624.997046,ACTIVE
2026-09-02T08:00:00Z,0xdd9f274410c8c704bdbb599dce6c4fb34be4f50a,,BTC,SHORT,39521787.52286,-39521787.52286,71157.6,cross,40.0,98382.0113146326,77366.5,27.16358025066741,-3160199.12408,4507111.239209,ACTIVE
2026-09-02T08:00:00Z,0xdf954bbe619273a56e0cfa90dad8382195dc7d72,,ETH,SHORT,23796557.42562,-23796557.42562,2251.06,cross,25.0,4427.479425623,2416.65,83.20730869687375,-1622702.871913,4765097.995353,ACTIVE
2026-09-02T08:00:00Z,0xe2ad376800c2da03d611700ffc1d013090733c8c,,BTC,LONG,9399745.27502,9399745.27502,76499.5,cross,20.0,28970.1198451724,77366.5,62.554697646691515,102385.73437,6169798.731489,ACTIVE
2026-09-02T08:00:00Z,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,BTC,SHORT,11284533.58328,-11284533.58328,77515.7,cross,20.0,313917.4640862508,77366.5,305.75373590152174,21837.853511,40504387.043382,ACTIVE
2026-09-02T08:00:00Z,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,ETH,SHORT,53670108.918101,-53670108.918101,2439.38,cross,15.0,3958.6996011309,2416.65,63.80938907706536,506601.160359,40504387.043382,ACTIVE
2026-09-02T08:00:00Z,0xedcdcaa1f18350c50c10bef860e64daa9785d05a,,ETH,LONG,48316000.0,48316000.0,1936.0,cross,4.0,1016.6404156681,2416.65,57.931830605669,9596000.0,11007678.655,ACTIVE
2026-09-02T08:00:00Z,0xfc27136e42af1732ddc9ce2605ea9bff1b959d9d,Bronny James,BTC,SHORT,64375217.55324,-64375217.55324,78169.9,cross,10.0,98435.2295439744,77366.5,27.23236742514448,689986.808355,19507677.980165,ACTIVE
2026-09-02T08:00:00Z,0xfc27136e42af1732ddc9ce2605ea9bff1b959d9d,Bronny James,ETH,SHORT,28998367.8512,-28998367.8512,2452.3,cross,20.0,3868.0809558224,2416.65,60.05962616938323,435798.077698,19507677.980165,ACTIVE
