timestamp,direction,state,priority_extreme_near,r25_parent_watch_pass,r25_seed_present,detector_can_execute,execution_authority,capital_authority,phase,streak_id,event_type
2026-09-05 00:00:00+00:00,LONG,EARLY_DETECT,False,False,False,False,FROZEN_R2_5_ONLY,FROZEN_R2_5_ONLY,BRIDGE_HELDOUT_PRE_FREEZE,1,STREAK_START
2026-09-07 00:00:00+00:00,LONG,PRIORITY_WATCH,True,True,False,False,FROZEN_R2_5_ONLY,FROZEN_R2_5_ONLY,BRIDGE_HELDOUT_PRE_FREEZE,1,STATE_CHANGE
