direction,route,entry,stop,reference,timestamp,phase,detection_lead_hours
LONG,RECLAIM,80883.87,77660.0,77252.92170715038,2026-09-19 00:00:00+00:00,STRICT_FORWARD,0.0
LONG,RECLAIM,81136.01,77972.3,77252.92170715038,2026-09-19 04:00:00+00:00,STRICT_FORWARD,4.0
